===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                    10         2840         1681          560          599
 Assembly              272       139143       109579        13613        15951
 GNU Style Assembly    225       142416       119324         8577        14515
 Autoconf              418        60690        45248         7562         7880
 Automake               16         3999         3432          240          327
 BASH                   23         1001          660          219          122
 Batch                  48         4005         3380          101          524
 C                    3761      2567789      1927177       356596       284016
 C Header            14260      3039131      1836827       785566       416738
 CMake                  72        10811         7294         1988         1529
 C#                      9         1615          879          506          230
 C Shell                 2           72           34           14           24
 CoffeeScript            4           64           34           12           18
 C++                 11055      5812799      4477194       593129       742476
 C++ Header             92        41014        32675         4583         3756
 CSS                  1419       127667        99659         8240        19768
 D                       1           34            8           22            4
 Dockerfile             76         1983         1290          320          373
 Emacs Lisp              2          338          258           38           42
 Elm                     2          542          399           32          111
 Fish                    2          152           94           26           32
 FreeMarker              3            6            6            0            0
 GLSL                 2985       149574        61121        68626        19827
 Go                      2          485          314          110           61
 Handlebars             17          212          211            0            1
 Happy                   3         2008         1835            0          173
 Haxe                    2          167          137            5           25
 HLSL                   33         2739         2045          291          403
 HTML                62136      1931960      1624707       152481       154772
 INI                  8390       256999       202040         1273        53686
 Java                 2872       511312       324572       120141        66599
 JavaScript          55081      5660127      3665513      1287557       707057
 JSON                 1099       804644       804129            0          515
 JSX                     6          886          706           62          118
 Makefile              723        46698        25789        12197         8712
 Markdown              586        59232            0        42185        17047
 Module-Definition      52         5118         3865         1173           80
 MSBuild                 3          223          165           48           10
 Objective-C            60         4055         2889          527          639
 Objective-C++         238        73816        54507         8052        11257
 OpenType Feature |      1         3834         3110            1          723
 Org                     2           54           42            0           12
 Pan                     1           36           30            0            6
 Pascal                  5         1569         1114          229          226
 Perl                   96        21520        15477         2862         3181
 PHP                     2          864          513          241          110
 PowerShell              3          323           82          217           24
 Prolog                  1           17           15            0            2
 Protocol Buffers       24         5184         1988         2466          730
 Python               4172       787556       611938        62335       113283
 R                       1           38           12           18            8
 RPM Specfile            3          235          168           18           49
 Rakefile                1           11            9            0            2
 ReStructuredText      388        51423        37316            0        14107
 Ruby                    4          181          153            5           23
 Rust                 3250       989477       835103        57596        96778
 Sass                    6          215          157           16           42
 Scala                   1          195          164            2           29
 Scons                   1           25           18            1            6
 Shell                 652        91256        65218        14934        11104
 Stylus                  1            7            5            0            2
 SVG                  3885       152642       127838        18036         6768
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     2        11081         6860         3236          985
 Plain Text           3020      1445047            0      1402510        42537
 TOML                  445        10738         8308         1102         1328
 TypeScript             21        32983        23542         9347           94
 VBScript                1          116           84           15           17
 Vim script              5            5            5            0            0
 Visual Studio Pro|     71        63294        63281           13            0
 Visual Studio Sol|     16         1451         1445            0            6
 Vue                     2           12            9            0            3
 XSL                    26         1747         1437          145          165
 Xcode Config            9          264           54          169           41
 XML                  2259       225666       208934         6847         9885
 YAML                  154        34415        31238          541         2636
===============================================================================
 Total              184596     25403674     17488769      5059679      2855226
===============================================================================
