===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  3502      1028496       563237       270182       195077
 Alex                   41         9359         8124            0         1235
 Assembly               72        26515        23172         1212         2131
 GNU Style Assembly     62        19608        14566         2891         2151
 Autoconf              149       108618        86920         7781        13917
 Automake              112        18818        15821          698         2299
 BASH                    3          462          353           66           43
 Batch                   3            7            7            0            0
 C                   12399      1635252      1135081       267338       232833
 C Header             1592       328965       190070        94278        44617
 C#                      9         1615          879          506          230
 C++                  2490       255940       161661        59703        34576
 C++ Header            210        32670        17091         8654         6925
 CSS                     4          262          201           43           18
 Emacs Lisp              1           84           59           21            4
 FORTRAN Legacy        217         8605         5207         2835          563
 FORTRAN Modern        885        31707        21096         6186         4425
 Happy                   6        20383        17864            0         2519
 Haskell                44          138          125            0           13
 HTML                  332        79568        61512         5872        12184
 Java                 4795      1010357       434327       480154        95876
 Makefile               16         2783         1747          284          752
 Markdown              145       223798            0       199924        23874
 Module-Definition      55        13163        11169           28         1966
 MSBuild                 1          141          140            0            1
 Objective-C           246         9841         6890         1089         1862
 Objective-C++         126         4998         3414          603          981
 Pan                     3         1970         1443          276          251
 Pascal                  4         1403          977          216          210
 Perl                   18         4028         3154          564          310
 Scheme                  1          164          115           34           15
 Shell                  53        28322        21064         4438         2820
 SWIG                    2            8            2            4            2
 TCL                     1          374          254           74           46
 TeX                     2        13576         7871         4498         1207
 Plain Text             67        71576            0        70616          960
 Visual Studio Pro|     11         5802         5802            0            0
 Visual Studio Sol|      3          243          242            0            1
 XSL                     1          102           85            8            9
 XML                     5         1515         1361          110           44
===============================================================================
 Total               27688      5001236      2823103      1491186       686947
===============================================================================
